FID,__gid,type,xcoord,ycoord,unique_id,geom
dwellingspt.1,1,9,28.44625924,-25.73052037,462730,POINT (28.44625923757148 -25.730520365882366)
dwellingspt.2,2,2,28.44575383,-25.73038033,457730,POINT (28.445753829018336 -25.73038032906297)
dwellingspt.3,3,2,28.44596579,-25.73033389,459730,POINT (28.445965785647452 -25.730333892945897)
dwellingspt.4,4,2,28.4458262,-25.73045124,458730,POINT (28.445826203084884 -25.730451238693416)
dwellingspt.5,5,8,28.44469707,-25.7319706,446731,POINT (28.44469706906728 -25.731970596299544)
dwellingspt.6,6,2,28.44584691,-25.73052152,458730,POINT (28.4458469100347 -25.730521520221764)
dwellingspt.7,7,9,28.44634518,-25.73041299,463730,POINT (28.446345182607576 -25.73041299128503)
dwellingspt.8,8,8,28.44477304,-25.73184222,447731,POINT (28.444773037752658 -25.731842219651497)
dwellingspt.9,9,8,28.4448222,-25.73211894,448732,POINT (28.444822203323884 -25.7321189446917)
dwellingspt.10,10,8,28.44492069,-25.73199126,449731,POINT (28.444920689300844 -25.731991261472903)
dwellingspt.11,11,9,28.44626143,-25.73045231,462730,POINT (28.446261431969475 -25.730452307982187)
dwellingspt.12,12,2,28.44623739,-25.7302901,462730,POINT (28.446237389611316 -25.73029010360948)
dwellingspt.13,13,2,28.44812626,-25.73020957,481730,POINT (28.44812626224584 -25.730209566791874)
dwellingspt.14,14,2,28.44771458,-25.730588,477730,POINT (28.44771458382143 -25.73058799518289)
dwellingspt.15,15,2,28.44698662,-25.73194364,469731,POINT (28.446986619679922 -25.73194364329627)
dwellingspt.16,16,14,28.44688863,-25.73190519,468731,POINT (28.446888630093767 -25.731905187742747)
dwellingspt.17,17,2,28.44681486,-25.73067017,468730,POINT (28.446814857890754 -25.73067017028659)
dwellingspt.18,18,2,28.44689194,-25.73074065,468730,POINT (28.44689194182207 -25.730740649639444)
dwellingspt.19,19,2,28.44620085,-25.73253779,462732,POINT (28.446200847897376 -25.732537785665812)
dwellingspt.20,20,2,28.44710368,-25.73216682,471732,POINT (28.447103678062483 -25.73216681703748)
dwellingspt.21,21,2,28.44708186,-25.73204495,470732,POINT (28.44708186178316 -25.732044950057354)
dwellingspt.22,22,2,28.44853915,-25.73175533,485731,POINT (28.448539153308886 -25.731755329504622)
dwellingspt.23,23,2,28.44822223,-25.73176763,482731,POINT (28.44822223490984 -25.73176762742339)
dwellingspt.24,24,2,28.4481352,-25.73169367,481731,POINT (28.44813519507034 -25.731693666417495)
dwellingspt.25,25,2,28.44679688,-25.73312785,467733,POINT (28.446796881715095 -25.733127854843477)
dwellingspt.26,26,2,28.4470814,-25.73300906,470733,POINT (28.44708139967002 -25.73300905553613)
dwellingspt.27,27,2,28.44710667,-25.73311688,471733,POINT (28.447106670302322 -25.73311687716509)
dwellingspt.28,28,2,28.4469861,-25.73316427,469733,POINT (28.446986095535987 -25.733164265065103)
dwellingspt.29,29,2,28.44748642,-25.73294146,474732,POINT (28.44748641830118 -25.732941456582605)
dwellingspt.30,30,2,28.44466891,-25.73080177,446730,POINT (28.444668910527415 -25.7308017694447)
dwellingspt.31,31,2,28.4444034,-25.72809644,444728,POINT (28.44440340377429 -25.728096443186594)
dwellingspt.32,32,2,28.44448749,-25.7281963,444728,POINT (28.44448749496572 -25.72819629782269)
dwellingspt.33,33,2,28.44443419,-25.72936291,444729,POINT (28.44443419461351 -25.72936291338807)
dwellingspt.34,34,11,28.44889405,-25.73126923,488731,POINT (28.448894045874646 -25.731269228678617)
dwellingspt.35,35,3,28.44512664,-25.73246667,451732,POINT (28.445126643488653 -25.732466668567394)
dwellingspt.36,36,1,28.44567445,-25.73136846,456731,POINT (28.44567445350803 -25.731368460352392)
dwellingspt.37,37,2,28.44412685,-25.73049122,441730,POINT (28.44412685083169 -25.730491222143716)
dwellingspt.38,38,2,28.4441251,-25.73016545,441730,POINT (28.444125103397948 -25.730165452907745)
dwellingspt.39,39,2,28.44723075,-25.73108696,472731,POINT (28.447230753845467 -25.73108695659444)
dwellingspt.40,40,2,28.44698209,-25.7310601,469731,POINT (28.446982093875533 -25.731060097680288)
dwellingspt.41,41,1,28.44712861,-25.73116915,471731,POINT (28.44712860939314 -25.731169146061543)
dwellingspt.42,42,1,28.44689085,-25.73112457,468731,POINT (28.44689085346888 -25.731124571641445)
dwellingspt.43,43,1,28.44578174,-25.7314557,457731,POINT (28.44578174312361 -25.731455703324237)
dwellingspt.44,44,1,28.44582992,-25.7316454,458731,POINT (28.445829924625286 -25.731645398895687)
dwellingspt.45,45,2,28.44507502,-25.73243931,450732,POINT (28.445075020816265 -25.73243930624468)
dwellingspt.46,46,1,28.4452958,-25.7324518,452732,POINT (28.445295798838206 -25.732451803197602)
dwellingspt.47,47,1,28.44510071,-25.73261592,451732,POINT (28.445100711786402 -25.732615915309477)
dwellingspt.48,48,1,28.44499507,-25.73256549,449732,POINT (28.444995068288716 -25.73256548727608)
dwellingspt.49,49,1,28.44504027,-25.73254897,450732,POINT (28.44504027206069 -25.73254896872418)
dwellingspt.50,50,1,28.44499346,-25.73229175,449732,POINT (28.444993462597868 -25.73229175280869)
